supplier,sitename,latitude,longitude,address1,address2,address3,city,country,product_type,total_workers,female_worker_percent,male_worker_percent,migrant_workers,workers_committee_or_union,production_processes,exported_from
[blank],Animal Magic Asia Ltd.,1,1,"No. 50, Weijian
Road, Fei'eling","Shangyuan
Village",Chashan Town,Dongguan,China,Clothing,199,72%,28%,80%,Yes,"Main Production
Site",Qingdao
[blank],Zhejiang Chalet Garments Co.LTD,1,1,"F1-5, No.333,
Jinshan North R","Jindong Industrial Park,",0,Jinhua,China,Clothing,59,61%,39%,87%,Yes,Main Production Site,Qingdao
[blank],"Global Asia Apparel (Cambodia) Co., Ltd.",1,1,"#271, Krom
4,Phlov AnlongKorng","Phum AnlongKorng,","Sangkat
PreySor, Khan Dangkor",Phnom Penh,Cambodia,Clothing,1013,83%,17%,0%,Yes,Main Production Site,[blank]
[blank],Huong Tra Vinatex Garment JSC,1,1,"Lot CN3 Tu Ha Industrial Zone,","Huong Tra District, THua
Thien",0,Hue Province,Vietnam,Clothing,555,73%,27%,0%,Yes,Main Production Site,[blank]
[blank],Phu Tai Linh Service And Trading Limited Company,1,1,"Phu Co hamlet,","Quyet Tien commune,",Tien Lang District,Hai Phong,Vietnam,Clothing,531,74%,26%,0%,Yes,Main Production Site,[blank]
[blank],"LRX Costume Weaving Co
Ltd",1,1,"52 GaoXing
Road",Gao Hao Village,Yingling Town,Jinjiang,China,Clothing,98,50%,50%,93%,Yes,"Main Production
Site",Qingdao
[blank],"Hela Clothing (Pvt.) Ltd –
Thihariya",1,1,"No.875, Rosmier
Estate",Kalagedihena,0,Thihariya,Sri Lanka,Clothing,1120,68%,32%,0%,Yes,"Main Production
Site",[blank]
[blank],"THANH THANH IMPORT EXPORT GARMENT
TRADING CO., LTD",1,1,"260/28A ,Chanh 1 Hamlet",Tan Xuan Commune,Hoc Mon District,Ho Chi Minh,Vietnam,Clothing,201,64%,36%,0%,Yes,Main Production Site,[blank]
[blank],"Dongping Paco Garment
Ltd",1,1,"Small East Gate
Street","Zhoucheng
Street,","Dongping
County",Taian,China,Clothing,275,90%,10%,0%,Yes,"Main Production
Site",Qingdao
[blank],Golden Refit Garments Ltd.,1,1,"589,Chirir
chala(Baghar Bazar)","Bhabanipur, Gazipur.",0,Gazipur,Bangladesh,Clothing,2948,35%,65%,0%,Yes,Main Production Site,[blank]
[blank],"Zhejiang Lianhe Qihua
Knitting Co. Ltd",1,1,"NO 61 DAMO
ROAD YINAN","INDUSTRIAL
PARK YIWU",0,"YI WU ZHE
JIANG",China,Clothing,95,57%,43%,98%,Yes,"Main Production
Site",Shenzhen
[blank],"Kenpark Bangladesh
Apparel Pvt. Ltd. (K-2)",1,1,"Plot No: 69-85,","Sector#03, KEPZ","4204,
Bangladesh.",Chittagong,Bangladesh,Clothing,2930,54%,46%,0%,Yes,"Main Production
Site",[blank]
[blank],"Jiangyin Chaoyu Knitting
Co., Ltd",1,1,"12-8, YUGUN
ROAD","ZHUTANG
TOWN",JIANGYIN,WUXI,China,Clothing,84,55%,45%,80%,Yes,"Main Production
Site",Shenzhen
[blank],"YANCHENG LIFEMAX TEXTILE PRODUCTS CO.,
LTD",1,1,"Industrial Zone, Wuyou Street,","Chengnan New District,
Yanchen","Jiangsu Province, China",Yanchen,China,Clothing,245,88%,12%,0%,Yes,Main Production Site,Shenzhen
[blank],"Mustang Socks &
Accessories",1,1,Plot No 9 & 10,Survey no 33,Village Vevoor,Palghar,India,Clothing,301,40%,60%,0%,Yes,"Subcontractor/P
rocessor",[blank]
[blank],Pratibha Syntex LTD Unit 2,1,1,Plot No 04,"INDUSTRIAL
GROWTH CENTRE",KHEDA,PITHAMPUR,India,Clothing,1469,33%,67%,3%,Yes,Main Production Site,[blank]
[blank],Marand Manf SRL,1,1,"196A Nicolae
Balcescu Bvd",Pitesti,0,Arges,Romania,Clothing,50,96%,4%,0%,Yes,"Main Production
Site",[blank]
[blank],Uniconfex Exim SRL,1,1,25 Crisan Street,Slatina,0,Olt,Romania,Clothing,106,70%,30%,11%,Yes,"Main Production
Site",[blank]
[blank],"BAIJIA (FUJIAN)
UNDERWEAR CO.,LTD.",1,1,"Baijia Industrial
Park",Huahai,Shenhu Town,Jinjiang,China,Clothing,880,54%,46%,68%,Yes,"Main Production
Site",Shenzhen
[blank],Golden Stitch Design Ltd.,1,1,"Rajaghat, Rajfulbaria,Sava
r,",Dhaka,0,Dhaka,Bangladesh,Clothing,1467,62%,38%,0%,Yes,Main Production Site,[blank]
[blank],Plummy Fashions Ltd.,1,1,"North Norshingpur,
Kashipur,","Fatullah, Narayanganj",0,Narayanganj,Bangladesh,Clothing,1598,40%,60%,0%,Yes,Main Production Site,[blank]
[blank],DIKO TEKSTIL DIS TIC. LTD. STI.,1,1,"Zafer Mahallesi
146. Sokak","No: 24 Esenyurt
/ Istanbul",0,ISTANBUL,Turkey,Clothing,198,51%,49%,2%,Yes,Main Production Site,[blank]
[blank],SADAQAT Limited,1,1,"02 KM
Sahianwala Road","Khurrianwala, Faisalabad",Faisalabad,Faisalabad,Pakistan,Clothing,7992,10%,90%,0%,Yes,Main Production Site,[blank]
[blank],"Silver Composite Textile
Mills Ltd. U 1",1,1,"BK Bari, Taltoli,
Mirzapur",Mirzapur,0,Gazipur,Bangladesh,Clothing,3308,68%,32%,0%,Yes,"Main Production
Site",[blank]
[blank],Dekko Garments Ltd.,1,1,"Mawna, Sreepur, Gazipur","Nayanpur, Sreepur, Gazipur",0,Gazipur,Bangladesh,Clothing,2332,77%,23%,0%,Yes,Main Production Site,[blank]
[blank],"Dalian Changjiangli Garments Co., Ltd",1,1,"Yangshufang Zhen Li Jia Cun,","Pulandian district, Dalian","Yangshofang
Zhen Li Jia Cun, P",dalian,China,Clothing,158,72%,28%,33%,Yes,Main Production Site,Shenzhen
[blank],"JIANGSU XINMENGYA SMART TEXTILE CO., LTD",1,1,"No.229 North of Dongxing Road,","ingjiang Economic
Development","Jingjiang City, Jiangsu Provin",Jingjiang,China,Clothing,162,71%,29%,7%,Yes,Main Production Site,Shenzhen
[blank],"Crown Exclusive Wears
Ltd.",1,1,"Mawna,
Sreepur,",Gazipur,0,Gazipur,Bangladesh,Clothing,2377,69%,31%,0%,Yes,"Main Production
Site",[blank]
[blank],"Rongcheng Luli Knitting Co.,ltd",1,1,"Industial Zone of Hushan Town,","Rongcheng,",0,Weihai,China,Clothing,116,79%,21%,34%,Yes,Main Production Site,Shenzhen
[blank],"US Apparel & Textiles Pvt
Ltd (Unit 03 & 04)",1,1,20 KM OFF,"FEROZ PUR
ROAD","GLAXO TOWN
LAHORE",LAHORE,Pakistan,Clothing,4675,4%,96%,0%,Yes,"Main Production
Site",[blank]
[blank],"Guangzhou Yijia leather goods Co.,Ltd",1,1,"3rd Lane,Xinliandon
g 3rd Lane,","Lianhe Village,Shiling
Town,","Huadu District,",Guangzhou,China,Clothing,95,51%,49%,87%,No,Main Production Site,Shenzhen
[blank],"WENZHOU YUANHUA LEATHER CO.,LTD.",1,1,"No 42, Jinyang Road,","JinShanyang Village,","Shuitou Town, Pingyang
County",Wenzhou,China,Clothing,56,57%,43%,29%,Yes,Main Production Site,Shenzhen
