sitename,latitude,longitude,address1,address2,city,country,product_type,production_processes,male_worker_percent,female_worker_percent,workers_committee_or_union,total_workers
Rangpur Metal Industries Ltd Unit 2,[blank],[blank],Olipur,Shayestagonj,Habiganj,Bangladesh,General Merchandise,Main production Site,69%,31%,Yes,487
Jin Chang Sheng International Co. Ltd,[blank],[blank],"NO.83, ALLEY 141 LANE 134,GUANG ZHENG RD",[blank],Dali District,Taiwan,General Merchandise,Main production Site,50%,50%,No,18
Zhejiang Hongguocun Leisure Goods Co.Ltd NO. 115 FAZHAN ROAD,25.08104072,118.9704966,[blank],Houzhai Industry Area,Jinhua,China,General Merchandise,Main production Site,47%,53%,Yes,88
Hangzhou Bay New Area Branch,24.77975775,118.3501703,Xingci No.3 Road,Hangzhou Bay New District Ningbo,[blank],China,General Merchandise,Main production Site,49%,51%,Yes,850
"Ningbo Premier Electric Co.,Ltd.",25.23764477,118.9344284,Xinxin Village,Langxia Street,Ningbo,China,General Merchandise,Main production Site,43%,57%,Yes,21
Guangdong Qiaokang Elec Appliance Co.ltd No.18 Jinxiang Road,25.04082528,119.0464269,[blank],Sanjiao Town,Zhongshan,China,General Merchandise,Main production Site,71%,29%,Yes,91
"Zhejiang Qiangwei Hardware Co., Ltd",25.53435749,118.9573643,Xin Tang Tou Village,XIN JIE STREET,Hangzhou,China,General Merchandise,Main production Site,47%,53%,Yes,504
Cello Electronics (UK) Ltd,[blank],[blank],Dovecot Hill,South Church,Bishop Auckland United KingdomGM,United Kingdom,General Merchandise,Main production Site,52%,48%,No,33
DEBANG CONSUMABLE PRODUCTS,24.62326947,117.8578947,"No. 50  DongguanChina City, ChinaGM Main production Site 26% 74% 223 Yes","Weijian Road, Fei''eling, Shangyuan Village, ChashanDongguan Town",Dongguan,China,General Merchandise,Main production Site,26%,74%,Yes,223
COMPANY LTD,25.3625472,118.2562595,Qiaotouchen Village,No. 167 Huanxin Road,Hangzhou,China,General Merchandise,Main production Site,43%,57%,Yes,42
Ninghai Tianbo Stationery & Sports,25.37209527,117.8341016,"Co. Ltd No 187, Binhai West RoadXidian Town",[blank],Ningbo,China,General Merchandise,Main production Site,52%,48%,Yes,56
Flexa Eesti AS - Nigula & Kadrina,[blank],[blank],Vasta Kula,Laane-Virumaa,Viru-Nigula,Estonia,General Merchandise,Main production Site,43%,57%,No,178
Vestel Electronik,[blank],[blank],Industrial Zone,Ahmet Tutuncuoglu Street,Yunusemre,Turkey,General Merchandise,Main production Site,66%,34%,No,6488
Kyoto Futons Ltd,[blank],[blank],Hards Lane,Frognall,Deeping St JamesUnited KingdomGM,United Kingdom,General Merchandise,Main production Site,55%,45%,No,29
Suzhou Reatai Furnishing Co Ltd,24.30485418,118.6495452,No 3188 Ditang Road,"Zhenze Town,",Suzhou,China,General Merchandise,Main production Site,60%,40%,Yes,85
MEBLE WOJCIK SP ZOO,[blank],[blank],MEBLE WOJCIK SP ZOO,MAZURSKA 45,Elblag,Poland,General Merchandise,Main production Site,77%,23%,Yes,1399
Ningbo Grand Home Furnishings Co Ltd,24.49518056,118.3013297,"No: 365 North Keyuan Road,Ninghai,",[blank],Ningbo,China,General Merchandise,Main production Site,52%,48%,Yes,168
Alfa Tapijtfabriek NV,[blank],[blank],Lindestraat 96,B-8790,Waregem,Belgium,General Merchandise,Main production Site,46%,54%,Yes,79
"Shangdong Cheerway Group Co.,Ltd.",25.12427524,118.0148446,XINGGUAN ROAD,XINZHAI TOWN,LINQU,China,General Merchandise,Main production Site,33%,67%,Yes,733
"Co., Ltd.",24.6571838,119.4076475,"No.6, Shun Hong Road, Li BanXi Village, Fu Town, Zhongshan",[blank],[blank],China,General Merchandise,Main production Site,33%,67%,Yes,276
